"","V1","V2"
"","411.447","92324"
"","411.949","92328"
"","412.447","92330"
"","412.951","92326"
"","413.449","92322"
"","413.951","92323"
"","414.449","92326"
"","414.953","92327"
"","415.451","92328"
"","415.954","92332"
"","416.452","92331"
"","416.955","92334"
"","417.453","92333"
"","417.956","92332"
"","418.454","92333"
"","418.958","92329"
"","419.456","92322"
"","419.96","92328"
"","420.456","92327"
"","420.959","92327"
"","421.457","92327"
"","421.96","92333"
"","422.459","92332"
"","422.96","92334"
"","423.459","92326"
"","423.962","92323"
"","424.461","92328"
"","424.963","92332"
"","425.462","92331"
"","425.964","92332"
"","426.463","92330"
"","426.965","92332"
"","427.464","92327"
"","427.967","92323"
"","428.466","92324"
"","428.967","92331"
"","429.466","92339"
"","429.969","92329"
"","430.468","92334"
"","430.97","92317"
"","431.469","92318"
"","431.971","92319"
"","432.47","92328"
"","432.972","92334"
"","433.471","92330"
"","433.974","92339"
"","434.473","92331"
"","434.974","92333"
"","435.473","92333"
"","435.976","92327"
"","436.475","92323"
"","436.977","92328"
"","437.476","92328"
"","437.978","92319"
"","438.477","92324"
"","438.979","92319"
"","439.478","92317"
"","439.981","92328"
"","440.48","92326"
"","440.981","92324"
"","441.48","92331"
"","441.983","92330"
"","442.482","92330"
"","442.984","92323"
"","443.483","92323"
"","443.985","92319"
"","444.484","92323"
"","444.986","92332"
"","445.485","92320"
"","445.988","92325"
"","446.487","92321"
"","446.988","92328"
"","447.487","92319"
"","447.99","92322"
"","448.488","92324"
"","448.991","92327"
"","449.489","92327"
"","449.992","92326"
"","450.49","92323"
"","450.993","92325"
"","451.491","92321"
"","451.995","92318"
"","452.493","92325"
"","452.995","92326"
"","453.493","92327"
"","453.997","92325"
"","454.495","92318"
"","454.998","92319"
"","455.496","92321"
"","455.999","92322"
"","456.497","92325"
"","457","92324"
"","457.498","92321"
"","458.001","92325"
"","458.5","92326"
"","459.001","92323"
"","459.5","92330"
"","460.003","92329"
"","460.502","92330"
"","461.003","92323"
"","461.502","92330"
"","462.004","92330"
"","462.503","92325"
"","463.006","92330"
"","463.505","92327"
"","464.007","92322"
"","464.506","92327"
"","465.008","92322"
"","465.507","92325"
"","466.009","92328"
"","466.508","92333"
"","467.011","92331"
"","467.51","92330"
"","468.011","92329"
"","468.51","92335"
"","469.013","92330"
"","469.512","92330"
"","470.014","92322"
"","470.513","92333"
"","471.015","92327"
"","471.514","92330"
"","472.016","92332"
"","472.515","92326"
"","473.018","92327"
"","473.517","92325"
"","474.018","92326"
"","474.517","92331"
"","475.02","92329"
"","475.519","92334"
"","476.021","92328"
"","476.52","92330"
"","477.022","92328"
"","477.521","92327"
"","478.023","92332"
"","478.522","92327"
"","479.025","92330"
"","479.524","92328"
"","480.025","92328"
"","480.524","92328"
"","481.027","92325"
"","481.526","92332"
"","482.028","92327"
"","482.527","92324"
"","483.029","92328"
"","483.528","92326"
"","484.03","92322"
"","484.528","92326"
"","485.032","92340"
"","485.53","92338"
"","486.032","92330"
"","486.53","92327"
"","487.034","92324"
"","487.532","92329"
"","488.035","92323"
"","488.533","92321"
"","489.036","92322"
"","489.534","92328"
"","490.037","92319"
"","490.535","92334"
"","491.039","92327"
"","491.537","92332"
"","492.039","92327"
"","492.537","92316"
"","493.04","92321"
"","493.539","92320"
"","494.041","92328"
"","494.54","92324"
"","495.042","92326"
"","495.541","92324"
"","496.043","92325"
"","496.542","92327"
"","497.045","92321"
"","497.544","92318"
"","498.045","92327"
"","498.544","92327"
"","499.047","92323"
"","499.546","92324"
"","500.048","92322"
"","500.547","92327"
"","501.049","92319"
"","501.548","92327"
"","502.05","92328"
"","502.549","92328"
"","503.051","92323"
"","503.55","92317"
"","504.052","92330"
"","504.551","92322"
"","505.053","92313"
"","505.552","92319"
"","506.055","92326"
"","506.554","92329"
"","507.055","92327"
"","507.554","92324"
"","508.057","92324"
"","508.556","92323"
"","509.058","92322"
"","509.557","92327"
"","510.059","92322"
"","510.558","92322"
"","511.06","92319"
"","511.559","92324"
"","512.062","92330"
"","512.561","92330"
"","513.062","92328"
"","513.561","92324"
"","514.064","92326"
"","514.563","92324"
"","515.065","92325"
"","515.564","92327"
"","516.066","92322"
"","516.565","92324"
"","517.067","92320"
"","517.566","92331"
"","518.069","92318"
"","518.568","92320"
